---,StageID,WaveIndex,StartTime,SpawnInterval,MaxAliveCount,SpawnEnemyIDs,SpawnWeights
STG_005_Wave_2,"STG_005","2","50.000000","2.000000","9","(""ENM_Melee_02"",""ENM_Ranged_02"",""ENM_Elite_02"")","(0.700000,0.700000,0.600000)"
STG_006_Wave_0,"STG_006","0","0.000000","2.800000","5","(""ENM_Melee_03"",""ENM_Ranged_03"")","(0.800000,0.800000)"
STG_006_Wave_1,"STG_006","1","25.000000","2.200000","8","(""ENM_Melee_03"",""ENM_Ranged_03"",""ENM_Elite_03"")","(0.700000,0.700000,0.500000)"
STG_006_Wave_2,"STG_006","2","55.000000","1.800000","12","(""ENM_Melee_03"",""ENM_Ranged_03"",""ENM_Elite_03"")","(0.600000,0.600000,0.600000)"
STG_007_Wave_0,"STG_007","0","0.000000","2.800000","5","(""ENM_Melee_04"",""ENM_Ranged_04"")","(0.700000,0.700000)"
STG_007_Wave_1,"STG_007","1","30.000000","2.200000","8","(""ENM_Melee_04"",""ENM_Ranged_04"",""ENM_Elite_04"")","(0.600000,0.600000,0.400000)"
STG_007_Wave_2,"STG_007","2","60.000000","1.800000","12","(""ENM_Melee_04"",""ENM_Ranged_04"",""ENM_Elite_04"")","(0.500000,0.500000,0.500000)"
STG_008_Wave_0,"STG_008","0","0.000000","3.000000","5","(""ENM_Melee_05"",""ENM_Ranged_05"",""ENM_Elite_04"")","(0.700000,0.700000,0.400000)"
STG_008_Wave_1,"STG_008","1","50.000000","2.000000","8","(""ENM_Melee_05"",""ENM_Ranged_05"",""ENM_Elite_04"",""ENM_Boss_02"")","(0.600000,0.600000,0.300000,0.040000)"
STG_008_Wave_2,"STG_008","2","100.000000","1.500000","6","(""ENM_Boss_02"",""ENM_Melee_05"",""ENM_Ranged_05"")","(0.060000,0.300000,0.300000)"
STG_009_Wave_0,"STG_009","0","0.000000","3.000000","6","(""ENM_Melee_01"",""ENM_Melee_03"",""ENM_Ranged_01"",""ENM_Elite_01"")","(0.800000,0.500000,0.700000,0.400000)"
STG_009_Wave_1,"STG_009","1","50.000000","2.000000","10","(""ENM_Melee_01"",""ENM_Melee_03"",""ENM_Ranged_01"",""ENM_Ranged_03"",""ENM_Elite_01"",""ENM_Elite_03"")","(0.600000,0.500000,0.600000,0.500000,0.400000,0.400000)"
STG_009_Wave_2,"STG_009","2","100.000000","1.500000","14","(""ENM_Melee_03"",""ENM_Ranged_03"",""ENM_Elite_03"")","(0.700000,0.700000,0.600000)"
STG_010_Wave_0,"STG_010","0","0.000000","2.800000","7","(""ENM_Melee_02"",""ENM_Melee_04"",""ENM_Ranged_02"",""ENM_Elite_02"")","(0.700000,0.400000,0.600000,0.400000)"
STG_010_Wave_1,"STG_010","1","50.000000","1.800000","11","(""ENM_Melee_02"",""ENM_Melee_04"",""ENM_Ranged_02"",""ENM_Ranged_04"",""ENM_Elite_02"",""ENM_Elite_04"")","(0.500000,0.400000,0.500000,0.400000,0.400000,0.300000)"
STG_010_Wave_2,"STG_010","2","100.000000","1.300000","16","(""ENM_Melee_04"",""ENM_Ranged_04"",""ENM_Elite_02"",""ENM_Elite_04"")","(0.500000,0.500000,0.400000,0.400000)"
STG_011_Wave_0,"STG_011","0","0.000000","2.500000","7","(""ENM_Melee_03"",""ENM_Melee_06"",""ENM_Ranged_03"",""ENM_Elite_03"")","(0.600000,0.400000,0.600000,0.400000)"
STG_011_Wave_1,"STG_011","1","50.000000","1.800000","12","(""ENM_Melee_03"",""ENM_Melee_06"",""ENM_Ranged_03"",""ENM_Ranged_06"",""ENM_Elite_03"",""ENM_Elite_04"")","(0.500000,0.400000,0.500000,0.300000,0.400000,0.300000)"
STG_011_Wave_2,"STG_011","2","100.000000","1.200000","18","(""ENM_Melee_06"",""ENM_Ranged_06"",""ENM_Elite_03"",""ENM_Elite_04"")","(0.500000,0.500000,0.500000,0.400000)"
STG_012_Wave_0,"STG_012","0","0.000000","2.500000","6","(""ENM_Melee_05"",""ENM_Ranged_05"",""ENM_Elite_03"",""ENM_Boss_03"")","(0.600000,0.600000,0.400000,0.060000)"
STG_012_Wave_1,"STG_012","1","50.000000","1.800000","10","(""ENM_Melee_05"",""ENM_Melee_06"",""ENM_Ranged_05"",""ENM_Ranged_06"",""ENM_Elite_04"",""ENM_Boss_03"")","(0.500000,0.400000,0.500000,0.400000,0.400000,0.060000)"
STG_012_Wave_2,"STG_012","2","100.000000","1.300000","14","(""ENM_Melee_06"",""ENM_Ranged_06"",""ENM_Elite_04"",""ENM_Boss_03"")","(0.500000,0.500000,0.500000,0.060000)"
