---,CardID,CardType,StatType,StatModifier,PassiveID,Weight,DisplayName,Description,Icon
CARD_HP_UP_3,CARD_HP_UP_3,StatUpgrade,MaxHP,30,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_HP_UP_3_DisplayName"", ""최대 체력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_HP_UP_3_Description"", ""최대 체력을 30 증가시킨다"")",/Game/Assets/UIAsset/cyberpunk-gloves-and-cloak/without_background/3.3
CARD_HP_UP_4,CARD_HP_UP_4,StatUpgrade,MaxHP,40,None,1,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_HP_UP_4_DisplayName"", ""최대 체력 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_HP_UP_4_Description"", ""최대 체력을 40 증가시킨다"")",/Game/Assets/UIAsset/futuristic-plant-icon/without_background/3.3
CARD_CRITRATE_UP_1,CARD_CRITRATE_UP_1,StatUpgrade,CriticalRate,0.05,None,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_CRITRATE_UP_DisplayName"", ""치명타 확률 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_CRITRATE_UP_Description"", ""치명타 확률이 5% 증가한다              "")",/Game/Assets/UIAsset/rpg-warlock-skill-icons/1.1
CARD_CRITRATE_UP_2,CARD_CRITRATE_UP_2,StatUpgrade,CriticalRate,0.1,None,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_CRITRATE_UP_DisplayName"", ""치명타 확률 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""724FE7FA441E5EB91FC957A2BFD94A45"", ""치명타 확률이 10% 증가한다              "")",/Game/Assets/UIAsset/rpg-warlock-skill-icons/3.3
CARD_CRITRATE_UP_3,CARD_CRITRATE_UP_3,StatUpgrade,CriticalRate,0.15,None,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_CRITRATE_UP_3_DisplayName"", ""치명타 확률 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_CRITRATE_UP_3_Description"", ""치명타 확률을 15% 증가시킨다"")",/Game/Assets/UIAsset/rpg-warlock-skill-icons/2.2
CARD_CRITRATE_UP_4,CARD_CRITRATE_UP_4,StatUpgrade,CriticalRate,0.2,None,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_CRITRATE_UP_4_DisplayName"", ""치명타 확률 강화"")","NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_CRITRATE_UP_4_Description"", ""치명타 확률을 20% 증가시킨다"")",/Game/Assets/UIAsset/rpg-warlock-skill-icons/4.4
CARD_PASSIVE_FIRE_1,CARD_PASSIVE_FIRE_1,PassiveAdd,None,0,PSV_FIRE_AURA_1,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_FIRE_1_DisplayName"", ""화염의 오라 패시브 획득"")",,None
CARD_PASSIVE_FIRE_2,CARD_PASSIVE_FIRE_2,PassiveAdd,None,0,PSV_FIRE_AURA_2,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_FIRE_2_DisplayName"", ""화염의 오라 패시브 획득"")",,None
CARD_PASSIVE_FIRE_3,CARD_PASSIVE_FIRE_3,PassiveAdd,None,0,PSV_FIRE_AURA_3,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_FIRE_DisplayName"", ""화염 오라 획득"")",,None
CARD_PASSIVE_FIRE_4,CARD_PASSIVE_FIRE_4,PassiveAdd,None,0,PSV_FIRE_AURA_4,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_FIRE_4_DisplayName"", ""화염의 오라 패시브 획득"")",,None
CARD_PASSIVE_ICE_ARMOR_1,CARD_PASSIVE_ICE_ARMOR_1,PassiveAdd,None,0,PSV_ICE_ARMOR_1,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_ICE_ARMOR_1_DisplayName"", ""얼음 갑주 Lv.1 패시브 획득"")",,None
CARD_PASSIVE_ICE_ARMOR_2,CARD_PASSIVE_ICE_ARMOR_2,PassiveAdd,None,0,PSV_ICE_ARMOR_2,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_ICE_ARMOR_2_DisplayName"", ""얼음 갑주 Lv.2 패시브 획득"")",,None
CARD_PASSIVE_ICE_ARMOR_3,CARD_PASSIVE_ICE_ARMOR_3,PassiveAdd,None,0,PSV_ICE_ARMOR_3,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_ICE_ARMOR_3_DisplayName"", ""얼음 갑주 Lv.3 패시브 획득"")",,None
CARD_PASSIVE_ICE_ARMOR_4,CARD_PASSIVE_ICE_ARMOR_4,PassiveAdd,None,0,PSV_ICE_ARMOR_4,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_ICE_ARMOR_4_DisplayName"", ""얼음 갑주 Lv.4 패시브 획득"")",,None
CARD_PASSIVE_THUNDER_1,CARD_PASSIVE_THUNDER_1,PassiveAdd,None,0,PSV_THUNDER_FEET_1,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_THUNDER_1_DisplayName"", ""번개의 발 Lv.1 패시브 획득"")",,None
CARD_PASSIVE_THUNDER_2,CARD_PASSIVE_THUNDER_2,PassiveAdd,None,0,PSV_THUNDER_FEET_2,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_THUNDER_2_DisplayName"", ""번개의 발 Lv.2 패시브 획득"")",,None
CARD_PASSIVE_THUNDER_3,CARD_PASSIVE_THUNDER_3,PassiveAdd,None,0,PSV_THUNDER_FEET_3,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_THUNDER_3_DisplayName"", ""번개의 발 Lv.3 패시브 획득"")",,None
CARD_PASSIVE_THUNDER_4,CARD_PASSIVE_THUNDER_4,PassiveAdd,None,0,PSV_THUNDER_FEET_4,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_THUNDER_4_DisplayName"", ""번개의 발 Lv.4 패시브 획득"")",,None
CARD_PASSIVE_SHADOW_1,CARD_PASSIVE_SHADOW_1,PassiveAdd,None,0,PSV_SHADOW_VEIL_1,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_SHADOW_1_DisplayName"", ""그림자 장막 Lv.1 패시브 획득"")",,None
CARD_PASSIVE_SHADOW_2,CARD_PASSIVE_SHADOW_2,PassiveAdd,None,0,PSV_SHADOW_VEIL_2,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_SHADOW_2_DisplayName"", ""그림자 장막 Lv.2 패시브 획득"")",,None
CARD_PASSIVE_SHADOW_3,CARD_PASSIVE_SHADOW_3,PassiveAdd,None,0,PSV_SHADOW_VEIL_3,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_SHADOW_3_DisplayName"", ""그림자 장막 Lv.3 패시브 획득"")",,None
CARD_PASSIVE_SHADOW_4,CARD_PASSIVE_SHADOW_4,PassiveAdd,None,0,PSV_SHADOW_VEIL_4,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_SHADOW_4_DisplayName"", ""그림자 장막 Lv.4 패시브 획득"")",,None
CARD_PASSIVE_POISON_HEART_1,CARD_PASSIVE_POISON_HEART_1,PassiveAdd,None,0,PSV_POISON_HEART_1,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_POISON_HEART_1_DisplayName"", ""독의 심장 Lv.1 패시브 획득"")",,None
CARD_PASSIVE_POISON_HEART_2,CARD_PASSIVE_POISON_HEART_2,PassiveAdd,None,0,PSV_POISON_HEART_2,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_POISON_HEART_2_DisplayName"", ""독의 심장 Lv.2 패시브 획득"")",,None
CARD_PASSIVE_POISON_HEART_3,CARD_PASSIVE_POISON_HEART_3,PassiveAdd,None,0,PSV_POISON_HEART_3,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_POISON_HEART_3_DisplayName"", ""독의 심장 Lv.3 패시브 획득"")",,None
CARD_PASSIVE_POISON_HEART_4,CARD_PASSIVE_POISON_HEART_4,PassiveAdd,None,0,PSV_POISON_HEART_4,0.8,"NSLOCTEXT(""DT_LevelUp_Card_Static_Data [1DD81BF0568E6373CEDAB02F9F63BD50]"", ""CARD_PASSIVE_POISON_HEART_4_DisplayName"", ""독의 심장 Lv.4 패시브 획득"")",,None
